108M	2022-06-02
115M	2022-06-03
64M	2022-06-04
102M	2022-06-05
119M	2022-06-06
148M	2022-06-07
108M	2022-06-08
142M	2022-06-09
147M	2022-06-10
64M	2022-06-11
109M	2022-06-12
155M	2022-06-13
118M	2022-06-14
146M	2022-06-15
236M	2022-06-16
156M	2022-06-17
132M	2022-06-18
145M	2022-06-19
165M	2022-06-20
108M	2022-06-21
121G	total
